,Authors,Poems
123,Machado de Assis,"A uma senhora que me pediu versos

Pensa em ti mesma, acharás
Melhor poesia,
Viveza, graça, alegria,
Doçura e paz.

Se já dei flores um dia,
Quando rapaz,
As que ora dou têm assaz
Melancolia.

Uma só das horas tuas
Valem um mês 
Das almas já ressequidas.

Os sóis e as luas
Creio bem que Deus os fez
Para outras vidas."
124,Augusto Branco,"CARTAS DE AMOR

Ah! As Cartas de Amor!...
Não existem poemas mais belos, 
nem canções mais lindas do que as cartas de amor!

E elas podem ser simples,
podem ser descoladas,
podem não ter mais que quatro ou cinco linhas,
mas sempre serão lindas,
perfeitas, 
maravilhosas, 
e sublimes,
pelo simples fato
de serem Cartas de Amor!"
125,Alexandre Herculano,"O amor do poeta é maior que o de nenhum homem; porque é imenso, como o ideal, que ele compreende, eterno, como o seu nome, que nunca perece."
126,Sociedade dos Poetas Mortos,"Na vida há tempo para se arriscar e tempo para se ser cauteloso, e um homem sensato sabe qual é a altura certa para cada uma destas coisas."
127,Rubem Alves,"Uma das missões da poesia é colocar palavras no lugar da dor. Não para que a dor termine, mas para que ela seja transfigurada pela beleza."
128,Manuel Bandeira,"O Último Poema

Assim eu quereria o meu último poema.
Que fosse terno dizendo as coisas mais simples e menos intencionais
Que fosse ardente como um soluço sem lágrimas
Que tivesse a beleza das flores quase sem perfume
A pureza da chama em que se consomem os diamantes mais límpidos
A paixão dos suicidas que se matam sem explicação."
129,Cora Coralina,"Poeta não é somente o que escreve.
É aquele que sente a poesia, se extasia sensível ao achado de uma rima à autenticidade de um verso."
130,William Shakespeare,"Enquanto houver um louco, um poeta e um amante haverá sonho, amor e fantasia. E enquanto houver sonho, amor e fantasia, haverá esperança."
131,Rubem Alves,"O desejo que move os poetas não é ensinar, esclarecer, interpretar. O desejo que move os poetas é fazer soar de novo a melodia esquecida."
132,Paulo Leminski,"lápide 1
epitáfio para o corpo

Aqui jaz um grande poeta.
Nada deixou escrito.
Este silêncio, acredito,
são suas obras completas."
133,Veronica Shoffstall,"O tempo é algo que não volta atrás.
Por isso plante seu jardim e decore sua alma,
Ao invés de esperar que alguém lhe traga flores..."
134,Vinícius de Moraes,"O VELHO E A FLOR

Por céus e mares eu andei,
Vi um poeta e vi um rei
Na esperança de saber
O que é o amor.

Ninguém sabia me dizer,
Eu já queria até morrer
Quando um velhinho
Com uma flor assim falou:

O amor é o carinho,
É o espinho que não se vê em cada flor.
É a vida quando
Chega sangrando aberta 
em pétalas de amor."
135,Mario Quintana,"PEQUENO ESCLARECIMENTO

Os poetas não são azuis nem nada, como pensam alguns supersticiosos, nem sujeitos a ataques súbitos de levitação. O de que eles mais gostam é estar em silêncio - um silêncio que subjaz a quaisquer escapes motorísticos e declamatórios. Um silêncio... Este impoluível silêncio em que escrevo e em que tu me lês."
136,Geraldo Carneiro,"filosofia da composição

sempre sonhei compor um poema narcísico
com tetas como tempestades e as
furibundas fêmeas com quem copulou
o bardo Gérard Éluard Du Kar´Nehru
na mui sensualmente San Sebastian
ciudad de los enganos
mas a musa dos meus verdes anos
perdeu-me em sua primavera de pentelhos
e, ainda melhor, furtou-me o espelho"
137,Richard Feynman,"Os poetas reclamam que a ciência retira a beleza das estrelas. Mas eu posso vê-las de noite no deserto, e senti-las. Vejo menos ou mais?"
138,Mario Quintana,"Não olhe para os lados
Seja um poema, uma tela ou o que for, não procure ser diferente. 
O segredo único está em ser indiferente."
139,Khalil Gibran,Árvores são poemas que a terra escreve para o céu. Nós as derrubamos e as transformamos em papel para registrar todo o nosso vazio.
140,William Wordsworth,A poesia é o transbordamento espontâneo de sentimentos intensos: tem a sua origem na emoção recordada num estado de tranquilidade.
141,Caio Fernando Abreu,"Depois, penso também naquele quase velho poema do John Lennon: “I don’t believe in yoga/ I don’t believe in mantra/ I don’t believe in God/ I don’t believe in Freud/ I don’t believe in drugs/ I don’t believe in sex/ I don’t believe in Beatles” e termina com um acorde profundo de guitarra e um “I just believe in me”. Mas nem isso."
142,Carlos Drummond de Andrade,"Lembrete 

Se procurar bem você acaba encontrando.
Não a explicação (duvidosa) da vida,
Mas a poesia (inexplicável) da vida."
143,Sociedade dos Poetas Mortos,"Quando você pensa que conhece alguma coisa, você tem que olhar de outra forma. Mesmo que pareça bobo ou errado, você deve tentar!"
144,Mario Quintana,"Repara como o poeta humaniza as coisas: dá hesitação às folhas, anseios ao vento. Talvez seja assim que Deus dá alma aos homens."
145,Charles Chaplin,"Um dia por curiosidade que me persiste perguntei a um poeta que fumava triste:
Poeta por que fumas com tanto ardor, e a cada vez que pões na boca triste, triste faz versos de amor.
O poeta respondeu: Se vedes o que vejo, talvez fumarias mais do que fumo, pois a fumaça que vai se espalhando, pouco a pouco vai formando a imagem da mulher que mais amei."
146,Mario Quintana,"A DIFERENÇA 
A diferença entre um poeta e um louco é que o poeta
sabe que é louco... Porque a poesia é uma loucura lúcida."
147,Clarice Lispector,"A poesia dos poetas que sofreram é doce e terna. E a dos outros, dos que de nada foram privados, é ardente, sofredora e rebelde."
148,Sociedade dos poetas mortos,"Vejo doçura em seu sorriso 
Brilho intenso em seu olhar 
Mas a vida é perfeita e me satisfaço só em saber que ela esta viva"
149,Mario Quintana,"SEMPRE QUE CHOVE

Sempre que chove
Tudo faz tanto tempo...
E qualquer poema que acaso eu escreva
Vem sempre datado de 1779!"
150,Manuel Bandeira,"Resposta a Vinicius

Poeta sou; pai, pouco; irmão, mais.
Lúcido, sim; eleito, não;
E bem triste de tantos ais
Que me enchem a imaginação.
Com que sonho? Não sei bem não.
Talvez com me bastar, feliz
– Ah, feliz como jamais fui! –
Arrancando do coração
– Arrancando pela raiz –
Este anseio infinito e vão
De possuir o que me possui."
151,Mario Quintana,"Poema 
Mas por que datar um poema? Os poetas que põem datas nos seus poemas me lembram essas galinhas que carimbam os ovos..."
152,Caio Fernando Abreu,"Os poetas mentiram pra mim, Roberto Carlos mentiu para a gente. O amor não é manso assim. Ele pega, invade e devora a gente."
153,Martha Medeiros,"aquele poema em que saiu seu nome
não liga não é você
não vou te comprometer com a minha ilusão
foi erro de revisão"
154,Honoré de Balzac,"O amor é a poesia dos sentidos. Ou é sublime, ou não existe. Quando existe, existe para sempre e vai crescendo dia a dia."
155,Rainer Maria Rilke,"Se o cotidiano lhe parece pobre, não o acuse: acuse-se a si próprio de não ser muito poeta para extrair as suas riquezas."
156,Paolo Mantegazza,"A esperança é a poesia da dor, é a promessa eternamente suspensa diante dos olhos que choram e do coração que padece."
157,Millôr Fernandes,"A verdadeira amizade é aquela que nos permite falar, ao amigo, de todos os seus defeitos e de todas as nossas qualidades."
158,Cecília Meireles,"O que está perdido na vida
Vive atráves da essência do seu ser
Que é sustentado pelo poeta
Na memória e no verso"
159,José Ortega y Gasset,"O que distingue um grande poeta é o fato dele nos dizer algo que ninguém ainda disse, mas que não é novo para nós."
160,Voltaire,Um dos méritos da poesia que muita gente não percebe é que ela diz mais que a prosa e em menos palavras que a prosa.
161,Jim Morrison,"Se minha poesia pretende atingir alguma coisa, é libertar as pessoas dos limites em que se encontram e que se sentem."
162,Mario Quintana,"Minha vida está nos meus poemas, meus poemas são eu mesmo, nunca escrevi uma vírgula que não fosse uma confissão."
163,Mario Quintana,"O POETA 
Venho do fundo das Eras
Quando o mundo mal nascia...
Sou tão antigo e tão novo
Como a luz de cada dia!"
164,Chico Buarque,"Mesmo que você fuja de mim
Por labirintos e alçapões
Saiba que os poetas como os cegos
Podem ver na escuridão"
165,Tati Bernardi,"Ele é um menino que não pode acompanhar minha louca linha de raciocínio meio poeta, meio neurótica, meio madura."
166,Carlos Drummond de Andrade,"AUSÊNCIA

Por muito tempo achei que a ausência é falta.
E lastimava, ignorante, a falta.
Hoje não a lastimo.
Não há falta na ausência.
A ausência é um estar em mim.
E sinto-a, branca, tão pegada, aconchegada nos meus braços,
que rio e danço e invento exclamações alegres,
porque a ausência, essa ausência assimilada,
ninguém a rouba mais de mim."
167,Fernando Pessoa,"Os críticos podem dizer que determinado poema, longamente ritmado, não quer, afinal, dizer senão que o dia está bom. Mas dizer que o dia está bom é difícil, e o dia bom, ele mesmo, passa. Temos pois que conservar o dia bom em memória florida e prolixa, e assim constelar de novas flores ou de novos astros os campos ou os céus da exterioridade vazia e passageira."
168,Cora Coralina,"O que vale na vida não é o ponto de partida e sim a caminhada. Caminhando e semeando, no fim terás o que colher."
169,Vinicius de Moraes,"Disse um poeta um dia que a vida é a arte dos encontros, embora haja tantos desencontros pela vida.
Eu me encontrei em teus desencontros e
te encontrei em meus desencontros.
Mas nada é por acaso nada é sem razão e no tempo certo, na hora certa fomos libertados das cadeias da solidão.
Hoje somos livres, libertos pelo amor que nos um une desde o sempre até o FIM."
170,Cecília Meireles,"Liberdade é uma palavra que o sonho humano alimenta, não há ninguém que explique e ninguém que não entenda."
171,William Wordsworth,"Nós, poetas, na nossa mocidade começamos com alegria, / Mas daí passamos finalmente ao desalento e à loucura."
172,Marie von Ebner-Eschenbach,"Em cada homem de talento existe, escondido, um poeta; ele manifesta-se no escrever, no ler, no falar ou no ouvir."
173,Vinícius de Moraes,Para que vieste / Na minha janela / Meter o nariz? / Se foi por um verso / Não sou mais poeta / Ando tão feliz.
174,Pablo Neruda,"E desde então, sou porque tu és
E desde então és
sou e somos...
E por amor
Serei... Serás... Seremos..."
175,Johann Goethe,As palavras do poeta volteiam incessantemente em redor das portas do paraíso e batem implorando a imortalidade.
176,Mario Quintana,"Se alguém te perguntar o que quiseste dizer com um poema, pergunta-lhe o que Deus quis dizer com este mundo..."
177,Mario Quintana,"Poeminho do Contra

Todos esses que aí estão
Atravancando meu caminho,
Eles passarão...
Eu passarinho!"
178,Confúcio,"Deixa o caráter ser formado pela poesia, fixado pelas leis do bom comportamento e aperfeiçoado pela música."
179,Fernando Pessoa,Ter opiniões é estar vendido a si mesmo. Não ter opiniões é existir. Ter todas as opiniões é ser poeta.
180,Paul Valéry,"Em poesia, trata-se, antes de mais nada, de fazer música com a própria dor, a qual diretamente não importa."
181,Confúcio,"A educação do homem deve começar pela poesia, ser fortificada pela conduta justa e consumar-se na música."
182,Oscar Wilde,"Nunca devemos lamentar que um poeta seja um bêbado, devemos lamentar que nem todos os bêbados sejam poetas."
183,Charles Bukowski,O que pode um poeta sem o sofrimento? O poeta precisa de sofrimento tanto quanto de sua máquina de escrever.
184,Bráulio Bessa,"Acredite e não se explique
pois poucos vão entender:
só se compreende um sonho
se o sonhador for você."
185,Castro Alves,"Eu já não tenho mais vida!
Tu já não tens mais amor!
Tu só vives para o riso,
eu só vivo para dor."
186,Mario Quintana,"Eu escrevi um poema triste

Eu escrevi um poema triste
E belo, apenas da sua tristeza.
Não vem de ti essa tristeza
Mas das mudanças do Tempo,
Que ora nos traz esperanças
Ora nos dá incerteza...
Nem importa, ao velho Tempo,
Que sejas fiel ou infiel...
Eu fico, junto à correnteza,
Olhando as horas tão breves...
E das cartas que me escreves
Faço barcos de papel!"
187,Manuel Bandeira,"Poema de beco

Que importa a paisagem, a Glória, a baía, a linha do horizonte?
-O que vejo é o beco."
188,Mario Quintana,"Se um poeta consegue expressar a sua infelicidade com toda a felicidade, como é que poderá ser infeliz?"
189,Jean Cocteau,"Ninguém ignora que a poesia é uma solidão espantosa, uma maldição de nascença, uma doença da alma."
190,Charles Bukowski,"Tenho alguns poemas que sei que aumentarão o ódio. É  bom ter hostilidade, mantém a cabeça relaxada."
191,John Keats,"Se a poesia não surgir tão naturalmente como as folhas de uma árvore, é melhor que não surja mesmo."
192,Charles Chaplin,A beleza existe em tudo - tanto no bem como no mal. Mas somente os artistas e poetas sabem encontrá-la.
193,Albert Einstein,"Pode ser que um dia nos afastemos...
Mas, se formos amigos de verdade,
A amizade nos reaproximará."
194,Xico Sá,"Poema de Classes

você vale-menos 
companheiro! 
MAIS-VALIA 
se você gritasse 
o ano inteiro."
195,Zeca Baleiro,"Porque hoje eu só quero chorar como um poeta do passado, e fumar o meu cigarro na falta de Absinto."
196,Bráulio Bessa,"A essência de um homem de verdade,
vem do pai pra formar um cidadão,
vem da mãe pra lhe dar educação,
e um menino vira homem caráter.
Macho véi, com muita sinceridade,
Eu lhe digo que aqui no meu sertão,
caráter e honestidade são coisas de criação,
tem família que sofre com sede e fome,
sem dinheiro, sem luxo e sem “sobrenome”,
12 filhos e nem um vira ladrão."
197,Mario Quintana,Um bom poema é aquele que nos dá a impressão de que está lendo a gente... e não a gente a ele!
198,Rupi Kaur,"o que é mais forte
que um coração humano
que se despedaça uma e outra vez
e continua vivendo"
199,Nicolas Poussin,"As cores na pintura são como chamarizes que seduzem os olhos, como a beleza dos versos na poesia."
200,Gaston Bachelard,"Ainda existem almas para as quais o amor é o contato de duas poesias, a fusão de dois devaneios."
201,Arthur Rimbaud,"O poeta faz-se vidente através de um longo, imenso e sensato desregramento de todos os sentidos."
202,Mario Quintana,"Cada poema é uma garrafa de náufrago jogada às águas... Quem a encontra, salva-se a si mesmo."
203,Cecília Meireles,"Retrato

Eu não tinha este rosto de hoje, 
assim calmo, assim triste, assim magro, 
nem estes olhos tão vazios, 
nem o lábio amargo.

Eu não tinha estas mãos sem força, 
tão paradas e frias e mortas; 
eu não tinha este coração 
que nem se mostra. 

Eu não dei por esta mudança, 
tão simples, tão certa, tão fácil: 
- Em que espelho ficou perdida 
a minha face?"
